date,sentiment,rolling_sentiment,Date,Close,High,Low,Open,Volume,return
2026-03-01,0.0,,,,,,,,
2026-03-02,0.0,,2026-03-02,6881.6201171875,6901.009765625,6796.85009765625,6824.35986328125,6079080000.0,
2026-03-03,0.0,,2026-03-03,6816.6298828125,6840.0498046875,6710.419921875,6800.259765625,6442080000.0,-0.009444031095625416
2026-03-04,0.0,,2026-03-04,6869.5,6885.93994140625,6811.64013671875,6831.68994140625,5252170000.0,0.007756049264286302
2026-03-05,0.0,0.0,2026-03-05,6830.7099609375,6870.43017578125,6770.77978515625,6851.080078125,5989300000.0,-0.005646704863891072
2026-03-06,0.0,0.0,2026-03-06,6740.02001953125,6773.419921875,6711.56005859375,6769.02978515625,5793120000.0,-0.013276795812569242
2026-03-07,0.0,0.0,,,,,,,
2026-03-08,0.0,0.0,,,,,,,
2026-03-09,0.0,0.0,2026-03-09,6795.990234375,6810.43994140625,6636.0400390625,6699.7998046875,6709410000.0,0.008304161513105202
2026-03-10,0.0,0.0,2026-03-10,6781.47998046875,6845.080078125,6759.740234375,6796.56005859375,5944950000.0,-0.0021351198877325173
2026-03-11,0.0,0.0,2026-03-11,6775.7998046875,6811.14990234375,6745.58984375,6790.08984375,5511090000.0,-0.0008376012017449197
2026-03-12,0.0,0.0,2026-03-12,6672.6201171875,6740.8798828125,6670.39990234375,6740.8798828125,6292170000.0,-0.015227676506708532
2026-03-13,0.0,0.0,,,,,,,
